tipo_veiculo,date,liters_refueled,km_since_previous
micro_caminhao,2026-01-05,100.9,820
micro_caminhao,2026-01-19,100.3,790
micro_caminhao,2026-02-02,104.9,860
micro_caminhao,2026-02-16,99.8,780
micro_caminhao,2026-03-02,102.9,830
micro_caminhao,2026-03-16,102.1,810
van_entrega,2026-01-07,89.1,900
van_entrega,2026-01-21,97.9,950
van_entrega,2026-02-04,88.0,880
van_entrega,2026-02-18,95.7,920
van_entrega,2026-03-04,91.9,910
van_entrega,2026-03-18,93.1,940
saveiro,2026-01-06,49.8,600
saveiro,2026-01-20,55.9,650
saveiro,2026-02-03,47.6,580
saveiro,2026-02-17,53.9,620
saveiro,2026-03-03,50.6,610
saveiro,2026-03-17,53.6,630
