tipo_veiculo,km_instalacao,km_troca,motivo_troca,posicao_eixo
micro_caminhao,0,58000,DESGASTE_NORMAL,TRACAO
micro_caminhao,58000,61500,DANO_ACIDENTE,TRACAO
micro_caminhao,61500,123000,DESGASTE_NORMAL,TRACAO
micro_caminhao,123000,182000,DESGASTE_NORMAL,TRACAO
van_entrega,0,53000,DESGASTE_NORMAL,TRACAO
van_entrega,53000,109000,DESGASTE_NORMAL,TRACAO
van_entrega,109000,164500,DESGASTE_NORMAL,TRACAO
saveiro,0,43000,DESGASTE_NORMAL,DIANTEIRO
saveiro,43000,89500,DESGASTE_NORMAL,TRACAO
saveiro,89500,135000,DESGASTE_NORMAL,TRACAO
